Student_ID,Age,Gender,Department,City,Attendance_Percentage,Study_Hours_Per_Day,Assignment_Score,Midterm_Score,Final_Exam_Score,Lab_Score,Projects_Completed,Internet_Usage_Hours,Sleep_Hours,Extracurricular_Hours,Overall_Performance
STU1216,21,Male,Electronics,Kolar,92.7,1.8,99.8,66.8,85.4,63.9,4,1.5,8.1,2.2,81.1
STU1217,18,Male,Civil,Kolar,79.0,3.3,70.3,69.4,70.8,80.2,0,6.9,5.5,0.5,72.6
STU1218,20,Male,Civil,Hassan,82.7,4.9,85.8,80.4,82.3,69.4,2,3.8,7.2,1.4,80.6
STU1219,19,Female,Mechanical,Mandya,81.1,7.3,87.5,81.6,84.3,88.3,0,5.9,8.0,1.8,84.5
STU1220,22,Male,Mechanical,Kolar,82.9,6.6,82.1,82.0,89.5,81.1,2,4.2,6.5,2.8,84.2
STU1221,22,Male,Civil,Kolar,100.0,6.9,100.0,84.6,96.9,83.6,5,3.4,8.9,4.2,92.8
STU1222,23,Male,Computer Science,Bengaluru,77.2,6.6,82.9,87.7,97.3,77.0,2,3.9,7.1,1.3,87.0
STU1223,23,Female,Electronics,Mandya,87.6,5.9,85.9,94.8,89.7,82.9,0,4.0,7.8,0.3,89.0
STU1224,19,Male,Mechanical,Mysuru,89.6,3.1,84.2,70.5,82.9,72.1,5,2.7,8.5,4.0,79.1
STU1225,18,Female,Civil,Mysuru,85.7,4.3,80.0,83.7,90.9,75.3,2,6.0,8.1,2.9,84.1
STU1226,18,Male,Civil,Bengaluru,77.8,6.5,76.0,83.1,94.9,81.6,2,0.5,6.5,0.7,84.5
STU1227,19,Female,Computer Science,Kolar,83.2,2.6,81.3,62.7,77.6,76.2,4,0.9,6.7,1.6,75.0
STU1228,21,Male,Civil,Mandya,86.3,3.7,82.9,79.7,89.7,76.6,4,3.0,5.1,1.5,83.5
STU1229,22,Female,Computer Science,Tumakuru,92.3,4.1,87.2,90.8,87.7,83.0,0,5.1,6.5,0.0,88.1
STU1230,21,Male,Computer Science,Chikkaballapur,77.4,5.6,71.7,85.5,94.2,72.6,0,2.0,8.5,4.8,82.6
STU1231,23,Female,Civil,Bengaluru,100.0,6.6,100.0,80.0,86.4,87.8,2,2.2,6.7,1.8,89.1
STU1232,21,Female,Biotechnology,Mandya,85.0,3.1,87.6,74.3,72.6,81.1,0,2.4,5.9,3.7,78.5
STU1233,23,Male,Electronics,Bengaluru,82.2,4.9,96.1,91.5,80.2,76.2,5,5.4,7.2,3.2,85.8
STU1234,23,Female,Biotechnology,Mysuru,62.3,3.9,65.3,52.8,48.2,67.5,0,3.5,6.4,0.0,57.1
STU1235,20,Male,Electronics,Mysuru,57.0,6.2,84.0,65.9,69.5,75.7,1,2.4,7.7,0.7,71.2
STU1236,20,Female,Computer Science,Mysuru,66.6,5.6,76.7,72.7,93.0,89.2,4,0.5,8.4,2.6,81.5
STU1237,21,Male,Mechanical,Tumakuru,77.9,6.1,89.0,65.2,75.4,91.2,1,5.6,5.8,1.5,78.2
STU1238,19,Male,Computer Science,Chikkaballapur,90.3,6.1,97.7,77.8,100.0,86.4,5,4.2,6.0,2.7,91.0
STU1239,20,Male,Electronics,Kolar,81.4,4.4,76.8,84.2,83.9,74.8,4,3.3,7.4,2.5,80.9
STU1240,23,Male,Mechanical,Mandya,97.2,6.4,86.3,91.3,86.0,91.7,2,3.6,6.0,0.0,89.4
STU1241,21,Female,Biotechnology,Tumakuru,98.7,1.0,76.7,83.8,97.9,71.1,1,3.3,9.2,2.3,86.2
STU1242,19,Female,Electronics,Kolar,65.6,5.4,77.8,78.1,94.1,78.1,3,5.1,6.0,1.3,81.6
STU1243,19,Male,Civil,Hassan,76.9,5.0,85.3,77.6,68.6,91.6,0,3.1,7.3,3.3,78.5
STU1244,19,Male,Civil,Bengaluru,88.6,4.6,77.6,81.9,79.5,82.2,1,2.7,7.0,3.8,81.0
STU1245,19,Female,Electronics,Bengaluru,91.6,3.6,91.0,85.4,78.6,85.3,1,6.9,7.3,0.0,85.1
STU1246,19,Male,Civil,Mandya,76.6,1.3,77.8,64.8,80.1,71.5,3,1.9,6.7,2.5,74.2
STU1247,22,Female,Mechanical,Kolar,75.9,5.9,83.0,80.3,82.3,78.3,3,4.5,7.2,2.9,80.7
STU1248,20,Female,Mechanical,Tumakuru,74.9,3.2,70.3,72.6,61.6,61.1,4,2.0,4.8,3.8,67.3
STU1249,22,Female,Electronics,Tumakuru,68.3,7.7,76.1,82.5,77.2,85.4,1,5.6,6.9,0.8,78.6
STU1250,23,Female,Civil,Mysuru,83.1,8.3,87.5,85.1,88.0,93.7,5,2.5,7.3,0.5,87.5
STU1251,22,Female,Biotechnology,Mandya,82.6,6.0,79.1,91.1,71.0,81.7,0,4.8,7.5,2.1,80.4
STU1252,23,Male,Computer Science,Bengaluru,80.2,3.6,68.4,72.7,87.3,70.5,0,4.3,7.6,0.9,76.6
STU1253,19,Female,Mechanical,Mysuru,82.1,1.8,75.1,76.6,62.6,79.6,1,2.3,7.3,2.0,73.1
STU1254,18,Female,Biotechnology,Kolar,72.3,6.1,92.1,79.8,72.1,83.4,3,1.3,5.4,3.7,79.7
STU1255,23,Female,Biotechnology,Mysuru,66.0,3.6,91.6,74.2,85.4,69.2,2,4.6,8.6,0.8,79.5
STU1256,22,Male,Civil,Mandya,84.2,2.7,79.6,66.4,66.1,74.0,3,2.2,5.8,3.3,71.9
STU1257,20,Female,Mechanical,Kolar,80.9,7.0,82.5,78.6,74.6,72.9,0,4.4,7.0,3.5,77.6
STU1258,21,Female,Mechanical,Kolar,97.4,2.9,94.7,78.9,83.4,79.3,3,1.4,7.8,2.2,85.3
STU1259,19,Male,Biotechnology,Chikkaballapur,76.3,5.6,77.1,77.8,81.1,82.4,1,4.7,6.2,2.0,79.2
STU1260,20,Female,Electronics,Mandya,86.2,4.3,75.5,84.8,93.1,85.3,2,6.1,5.8,2.1,85.6
STU1261,19,Female,Biotechnology,Mandya,62.5,7.9,67.5,77.5,77.1,87.0,3,2.3,4.9,0.5,75.3
STU1262,23,Female,Electronics,Mysuru,75.1,4.3,78.1,67.7,68.4,56.3,5,7.7,5.5,0.5,69.0
STU1263,18,Male,Mechanical,Tumakuru,80.5,2.0,74.0,63.6,52.3,76.8,5,4.8,7.2,4.1,66.0
STU1264,23,Male,Computer Science,Kolar,84.8,1.0,75.7,62.6,54.4,70.7,2,0.8,7.7,2.3,66.2
STU1265,23,Female,Civil,Hassan,88.8,3.7,90.8,77.0,84.4,66.9,5,1.2,6.1,3.1,81.6
STU1266,19,Male,Civil,Hassan,72.6,4.3,73.3,74.0,56.3,76.0,3,4.5,6.5,1.5,68.7
STU1267,22,Male,Computer Science,Chikkaballapur,82.1,4.8,81.2,57.4,87.0,80.1,3,2.3,8.0,0.9,76.9
STU1268,21,Male,Civil,Tumakuru,89.1,2.6,72.4,76.0,67.1,79.6,1,5.6,4.9,0.4,74.5
STU1269,20,Male,Electronics,Tumakuru,72.3,6.9,89.4,77.1,85.8,90.2,2,2.7,6.5,2.1,83.7
STU1270,21,Male,Biotechnology,Hassan,91.5,1.4,75.5,67.4,62.2,67.6,1,2.0,5.2,1.8,69.9
STU1271,18,Female,Electronics,Bengaluru,85.3,5.9,86.3,82.7,73.0,79.9,4,2.2,6.4,1.4,80.4
STU1272,18,Female,Civil,Hassan,81.6,5.6,75.5,85.3,80.9,89.5,0,4.8,6.7,4.2,82.3
STU1273,18,Female,Civil,Hassan,79.1,5.0,80.5,99.8,80.5,87.8,4,2.9,6.9,2.2,86.3
STU1274,21,Male,Biotechnology,Mandya,86.7,4.1,79.9,68.5,92.2,87.9,5,3.5,7.5,2.4,82.6
STU1275,18,Female,Biotechnology,Kolar,92.2,4.4,95.0,89.6,81.3,76.2,5,5.5,6.4,1.8,86.4
